epsilon [MeV/fm^3],p [MeV/fm^3],n [1/fm^3],mu [MeV]
7.0636061398,0.0130399501,0.007496,944.056308683
10.5589410287,0.022372035,0.0112,944.7600949706
15.1034374332,0.0359612984,0.016,946.2124207241
20.8541890562,0.0550062422,0.02207,947.4035024185
27.8729112809,0.0808364544,0.02948,948.2275351198
39.99999999362306,0.1332000218241313,0.04225163715688365,949.84502011041
40.40674457428216,0.1349563046192259,0.04268,949.8992708271174
57.01946,0.2582268,0.06025596,950.573
59.71952,0.2865776,0.06309573,951.0326
62.54825,0.3182826,0.06606934,951.5235
65.51187,0.3537471,0.0691831,952.0479
68.61693,0.3934337,0.0724436,952.6083
71.87031,0.4378754,0.07585776,953.2076
75.27923,0.4876908,0.07943282,953.8491
78.8513,0.5436044,0.08317638,954.5367
82.59451,0.6064714,0.08709636,955.2751
86.51727,0.677309,0.09120108,956.0696
90.62846,0.7573356,0.09549926,956.9268
94.93742,0.8480185,0.1,957.8543
99.454,0.9511331,0.1047129,958.8616
104.1886,1.068834,0.1096478,959.9596
109.1524,1.203741,0.1148154,961.1614
114.3568,1.356167,0.1202264,962.4583
119.8141,1.529994,0.1258925,963.8706
125.5375,1.730898,0.1318257,965.4293
131.5408,1.964819,0.1380384,967.1625
137.8389,2.238744,0.144544,969.1008
144.4487,2.663353,0.1513561,971.9597
151.3989,3.419464,0.1584893,976.8375
158.7168,4.380668,0.1659587,982.7593
166.4308,5.605662,0.1737801,989.9665
169.27448013639355,6.150966974613033,0.17664022849440164,993.0303995576962
334.11800114082394,6.15097526578202,0.34265711652009423,993.030403589508
335.1216180511939,6.483681905119283,0.3436673045322738,994.
336.157078939923,6.827869858873328,0.3447084918375239,995.
337.1929091409231,7.173098662645657,0.3457490071495589,996.
338.2291073166156,7.519367641532199,0.3467888462537145,997.
339.2656721054865,7.8666761206291085,0.34782800637990763,998.
340.30260217509687,8.215023425031973,0.34886650007279885,999.
341.33989615972877,8.56440887983672,0.34990431305320835,1000.
342.37755271866314,8.914831810139049,0.3509414475833895,1001.
343.4155705013139,9.266291541034889,0.3519779158242856,1002.
344.45394814971525,9.61878739761994,0.353013697869251,1003.
345.49268432437896,9.972318704990357,0.3540488143297011,1004.
346.5317776698693,10.326884788241728,0.35508324659506574,1005.
347.5712268355557,10.682484972469865,0.3561170155277446,1006.
348.6110304803217,11.039118582770811,0.35715010815009035,1007.
349.6511872437729,11.39678494424004,0.35818251452880273,1008.
350.6916957825629,11.755483381973932,0.3592142559008987,1009.
351.7325547380025,12.115213221067847,0.36024531510316077,1010.
352.7737627693761,12.475973786617942,0.36127571082794524,1011.
353.81531852390407,12.837764403719575,0.36230542019121437,1012.
354.8572206517821,13.200584397469129,0.3633344596230717,1013.
355.8994678110076,13.56443309296219,0.36436282407853593,1014.
356.9420586399339,13.9293098152948,0.3653905198943559,1015.
357.984991786238,14.295213889562547,0.3664175314141349,1016.
359.0282659139019,14.66214464086113,0.36744387358519254,1017.
360.0718796614239,15.030101394286817,0.36846952988873205,1018.
361.11583168409373,15.399083474935196,0.3694945282497203,1019.
362.16012064099635,15.769090207902195,0.3705188420826606,1020.
363.20474516095925,16.14012091828363,0.3715424780755032,1021.
364.24970391194967,16.512174931174968,0.3725654468059694,1022.
365.29499554370034,16.885251571672597,0.37358773626965225,1023.
366.34061869715015,17.25935016487233,0.3746093499283107,1024.
367.3865720220289,17.63447003586964,0.37563028934743486,1025.
368.43285417146933,18.01061050976068,0.3766505530337651,1026.
369.4794638070394,18.387770911640814,0.37767014621604245,1027.
370.52639956438634,18.76595056660642,0.3786890630574037,1028.
371.57366009128765,19.1451487997532,0.3797073038392701,1029.
372.62124405508473,19.525364936176857,0.38072486924357607,1030.
373.6691500884568,19.9065983009732,0.38174176162677564,1031.
374.7173768598514,20.28884821923816,0.3827579782562996,1032.
375.7659230033119,20.672114016067553,0.3837735148006516,1033.
376.81478716951125,21.056395016557417,0.3847883779495419,1034.
377.86396802295104,21.44169054580334,0.38580257537588075,1035.
378.913464193557,21.827999928901136,0.38681609030761915,1036.
379.9632743462927,22.21532249094662,0.3878289288521772,1037.
381.01339712814246,22.603657557035945,0.38884109573076586,1038.
382.06383119269464,22.993004452264813,0.38985259182206483,1039.
383.1145751814772,23.383362501728698,0.3908634076841471,1040.
384.16562775049255,23.774731030523753,0.39187354391427126,1041.
385.2169875441187,24.16710936374602,0.3928830203885765,1042.
386.26865322587156,24.560496826490976,0.3938918053478673,1043.
387.3206234318728,24.95489274385477,0.39489992140085195,1044.
388.3728968217862,25.35029644093288,0.3959073711198309,1045.
389.42547204125225,25.74670724282123,0.39691413042380225,1046.
390.4783477356255,26.14412447461575,0.39792022421215684,1047.
391.5315225608117,26.542547461412482,0.3989256451759414,1048.
392.5849951673937,26.94197552830701,0.39993038210712645,1049.
393.6387642044842,27.342408000395153,0.4009344529755476,1050.
394.6928283292704,27.743844202772607,0.4019378456944965,1051.
395.7471861795281,28.146283460535756,0.4029405676757352,1052.
396.8018364066334,28.54972509877996,0.40394260623529665,1053.
397.8567776741759,28.954168442601258,0.40494397890880374,1054.
398.9120086202081,29.35961281709524,0.40594467477148527,1055.
399.9675278923892,29.766057547357946,0.40694468875025586,1056.
401.0233341492996,30.173501958485303,0.4079440273480437,1057.
402.07942604314957,30.581945375573014,0.408942699572765,1058.
403.1358022173564,30.991387123717004,0.4099406970279572,1059.
404.1924613284169,31.40182652801309,0.4109380160304904,1060.
405.2494020193576,31.813262913556628,0.41193465939193114,1061.
406.3066229377528,32.22569560544434,0.4129306254593135,1062.
407.3641227396339,32.63912392877148,0.41392591913091253,1063.
408.4219000849921,33.053547208634086,0.41492054134200107,1064.
409.47995359867394,33.46896477012774,0.41591447967482037,1065.
410.53828195727226,33.88537593834849,0.4169077475290205,1066.
411.5968837977726,34.30278003839226,0.41790034341161375,1067.
412.65575777930064,34.72117639535486,0.41889226579533606,1068.
413.714902530454,35.140564334331884,0.4198835066842719,1069.
414.77431672833876,35.56094318041937,0.42087407554323986,1070.
415.83399900832666,35.98231225871302,0.42186397277278725,1071.
416.8939480212192,36.40467089430888,0.4228531915208631,1072.
417.954162419554,36.82801841230264,0.4238417393764482,1073.
419.01464084674853,37.252354137790235,0.424829611140457,1074.
420.07538196950156,37.677677395867136,0.4258167995035955,1075.
421.1363844214302,38.10398751162984,0.42680332833150497,1076.
422.1976468645794,38.531283810173704,0.4277891727326508,1077.
423.2591679361648,38.95956561659477,0.42877434317302393,1078.
424.32094630143695,39.388832255988746,0.42975883625407707,1079.
425.3829805986779,39.81908305345121,0.4307426539690653,1080.
426.4452694847324,40.25031733407866,0.4317258009153576,1081.
427.5078116109678,40.682534422966455,0.43270826962139,1082.
428.5706056190488,41.11573364521064,0.4336900642839837,1083.
429.6336501697328,41.54991432590691,0.434671194283626,1084.
430.69694390233917,41.98507579015097,0.4356516362281576,1085.
431.7604854743991,42.42121736303898,0.4366314046971514,1086.
432.824273538725,42.85833836966674,0.43761050360774195,1087.
433.88830673942186,43.29643813512996,0.4385889236738605,1088.
434.95258371744944,43.73551598452457,0.4395666737041763,1089.
436.0171031498896,44.17557124294592,0.44054374394663043,1090.
437.0818636626421,44.61660323549063,0.4415201366084387,1091.
438.1468639146984,45.058611287254166,0.4424958599442871,1092.
439.2121025553052,45.50159472333246,0.44347091156402246,1093.
440.27757823227944,45.94555286882098,0.4444452771938954,1094.
441.34328960339394,46.390485048815776,0.44541898024693105,1095.
442.40923531589925,46.836390588412996,0.4463919970688925,1096.
443.4754140084409,47.28326881270834,0.44736434446496415,1097.
444.5418243509307,47.73111904679752,0.4483360142013368,1098.
445.6084649793934,48.17994061577633,0.44930701916606036,1099.
446.6753345498265,48.62973284474049,0.45027734041139356,1100.
447.7424317074868,49.080495058786255,0.4512469820167173,1101.
448.8097551114826,49.532226583009106,0.4522159547863497,1102.
449.8773034013619,49.98492674250508,0.45318426059245565,1103.
450.9450752274335,50.43859486236988,0.45415188198466727,1104.
452.01306926019004,50.89323026769921,0.4551188232253023,1105.
453.08128412231497,51.34883228358933,0.4560851011377423,1106.
454.1497184767205,51.80540023513572,0.45705069657128056,1107.
455.21837097903045,52.26293344743465,0.4580156200035351,1108.
456.2872402637035,52.72143124558113,0.4589798754786144,1109.
457.356324996643,53.180892954671776,0.4599434417079458,1110.
458.4256238264751,53.641317899802175,0.46090633984758866,1111.
459.49513539329723,54.10270540606825,0.46186856755671113,1112.
460.5648583506699,54.5650547985656,0.46283011191199125,1113.
461.63479135977445,55.028365402390136,0.4637909897682792,1114.
462.7049330548147,55.49263654263791,0.4647511863300886,1115.
463.7752820968553,55.95786754440462,0.4657107159026374,1116.
464.8458371297991,56.42405773278608,0.4666695594281213,1117.
465.9165968022184,56.89120643287799,0.46762773438837646,1118.
466.9875597752959,57.35931296977628,0.46858523087630544,1119.
468.0587246921716,57.82837666857699,0.4695420558961268,1120.
469.1300901997615,58.29839685437594,0.4704982054966343,1121.
470.20165495549367,58.76937285226859,0.471453687970619,1122.
471.2734176078493,59.24130398735133,0.4724084882108151,1123.
472.3453768043513,59.71418958471929,0.4733626068508464,1124.
473.41753119011247,60.18802896946886,0.47431606170676854,1125.
474.48987942166434,60.66282146669607,0.4752688365573548,1126.
475.5624201601087,61.138566401496064,0.4762209340141474,1127.
476.6351520311044,61.615263098965215,0.477172363550702,1128.
477.7080737020421,62.09291088419877,0.4781231068363653,1129.
478.7811838201993,62.571509082293346,0.47907318586285597,1130.
479.8544810319753,63.05105701834441,0.4800225822066185,1131.
480.9279639917004,63.53155401744766,0.48097131085515316,1132.
482.00163134904915,64.01299940469903,0.4819193573361108,1133.
483.0754817611158,64.49539250519433,0.48286673834420063,1134.
484.149513859284,64.9787326440296,0.4838134345143388,1135.
485.223726303318,65.46301914630044,0.4847594619076108,1136.
486.29811774968056,65.9482513371031,0.48570481334287774,1137.
487.3726868417949,66.43442854153295,0.4866494911024516,1138.
488.4474322352152,66.92155008468558,0.4875934953936509,1139.
489.5223525778959,67.40961529165747,0.4885368190252319,1140.
490.59744650819306,67.89862348754457,0.48947947053516716,1141.
491.6727126969753,68.388573997442,0.4904214507404938,1142.
492.7481497763912,68.8794661464458,0.4913627466027398,1143.
493.8237564131698,69.37129925965223,0.4923033739514418,1144.
494.8995312499777,69.86407266215679,0.4932433242204775,1145.
495.97547292664143,70.3577856790555,0.4941826065446743,1146.
497.05158010463526,70.85243763544395,0.4951212017229935,1147.
498.1278514342135,71.34802785641796,0.4960591328291769,1148.
499.20428556057794,71.84455566707379,0.4969963878433245,1149.
500.280881140753,72.34202039250704,0.49793296755686695,1150.
501.35763682457815,72.84042135781351,0.4988688697425853,1151.
502.43455125131396,73.3397578880888,0.4998040923831536,1152.
503.51162308263525,73.84002930842905,0.5007386447133805,1153.
504.5888509671268,74.34123494392998,0.5016725238989032,1154.
505.6662335445061,74.84337411968772,0.5026057222130023,1155.
506.74376947682,75.34644616079777,0.5035382509917783,1156.
507.82145741131126,75.85045039235615,0.5044701110746336,1157.
508.8992960003927,76.35538613945823,0.5054012846628421,1158.
509.9772838800245,76.86125272720051,0.506331791796845,1159.
511.05541972255526,77.36804948067856,0.5072616116041735,1160.
512.1337021589354,77.87577572498844,0.508190766145169,1161.
513.2121298546823,78.3844307852255,0.5091192437559325,1162.
514.2907014510985,78.89401398648556,0.5100470487240246,1163.
515.3694155946307,79.40452465386511,0.5109741814028719,1164.
516.4482709450992,79.91596211245951,0.5119006368452259,1165.
517.5272661505581,80.42832568736446,0.5128264082388762,1166.
518.6063998613013,80.94161470367635,0.5137515183632941,1167.
519.6856707235276,81.45582848649042,0.5146759490701682,1168.
520.7650773804803,81.97096636090305,0.5155997022995683,1169.
521.8446185061373,82.4870276520096,0.5165227777019082,1170.
522.9242927179723,83.00401168490623,0.5174451871768163,1171.
524.0040986978067,83.52191778468864,0.5183669112471762,1172.
525.0840350823561,84.04074527645253,0.5192879697522741,1173.
526.1641005081158,84.56049348529405,0.5202083448788927,1174.
527.2442936506908,85.08116173630879,0.5211280521787583,1175.
528.3246131403203,85.60274935459267,0.5220470834852261,1176.
529.4050576429817,86.12525566524164,0.5229654392972716,1177.
530.4856258010515,86.64867999335138,0.5238831182604599,1178.
531.566316260405,87.17302166401782,0.5248001180942949,1179.
532.6471276674122,87.69828000233679,0.5257164555926545,1180.
533.7280586948946,88.22445433340408,0.5266321065349712,1181.
534.8091079654386,88.75154398231541,0.5275470880647098,1182.
535.8902741545821,89.2795482741667,0.5284613940616747,1183.
536.9715558932816,89.8084665340541,0.5293750211464465,1184.
538.052951840552,90.3382980870731,0.5302879833595435,1185.
539.134460641046,90.86904225831972,0.5312002651347644,1186.
540.2160809483655,91.40069837288922,0.5321118649609001,1187.
541.2978114171149,91.93326575587844,0.5330227954383948,1188.
542.3796506951097,92.46674373238238,0.5339330545570636,1189.
543.4615974247705,93.00113162749756,0.5348426362717853,1190.
544.5436502682298,93.5364287663192,0.5357515408528719,1191.
545.6258078617296,94.07263447394303,0.5366597754613242,1192.
546.7080688647715,94.60974807546586,0.537567324588021,1193.
547.7904319312028,95.14776889598261,0.5384742082504981,1194.
548.87289570518,95.68669626058954,0.5393804170598312,1195.
549.9554588397856,96.22652949438225,0.5402859444129746,1196.
551.0381199803517,96.76726792245654,0.5411908068804857,1197.
552.1208777754999,97.30891086990846,0.5420949834255202,1198.
553.2037308871534,97.85145766183405,0.542998492129845,1199.
554.2866779595203,98.39490762332844,0.5439013293561712,1200.
555.3697176368998,98.93926007948835,0.5448034851964507,1201.
556.4528485712706,99.48451435540892,0.5457049620585156,1202.
557.5360694149916,100.03066977618641,0.5466057697640057,1203.
558.6193788239927,100.5777256669162,0.5475059035597536,1204.
559.7027754413202,101.12568135269476,0.5484053587765183,1205.
560.7862579292496,101.67453615861723,0.5493041506435977,1206.
561.8698249168625,102.22428940978011,0.5502022538806752,1207.
562.9534750635437,102.77494043127876,0.5510996903200943,1208.
564.0372070232346,103.32648854820923,0.551996448110981,1209.
565.1210194468886,103.87893308566731,0.5528925301225223,1210.
566.2049109867164,104.43227336874884,0.5537879364220781,1211.
567.2888802796559,104.98650872254962,0.5546826735161244,1212.
568.3729259938095,105.54163847216546,0.5555767313800694,1213.
569.4570467643283,106.09766194269241,0.5564701141125563,1214.
570.5412412471459,106.65457845922629,0.5573628218673532,1215.
571.6255080916778,107.21238734686244,0.5582548534962718,1216.
572.709845951002,107.77108793069692,0.5591462138223208,1217.
573.794253472449,108.33067953582622,0.5600368964680135,1218.
574.878729310207,108.89116148734547,0.5609269015366751,1219.
575.9632721024158,109.45253311035049,0.5618162408184767,1220.
577.0478805195116,110.01479372993754,0.5627048962676168,1221.
578.1325531888733,110.57794267120198,0.5635928868050792,1222.
579.2172887789167,111.14197925924054,0.564480194317702,1223.
580.3020859402761,111.7069028191479,0.565366821219994,1224.
581.3869433034572,112.27271267602077,0.5662527894233853,1225.
582.4718595341333,112.83940815495407,0.5671380672437407,1226.
583.5568332770683,113.40698858104474,0.5680226764387226,1227.
584.6418631887116,113.97545327938792,0.5689066164723834,1228.
585.7269479209427,114.54480157507942,0.569789874279378,1229.
586.8120861130697,115.1150327932155,0.5706724557012448,1230.
587.8972764229761,115.68614625889154,0.5715543675693129,1231.
588.9825174920223,116.25814129720402,0.5724356039349504,1232.
590.067807977848,116.83101723324808,0.5733161696752884,1233.
591.153146534626,117.40477339211998,0.5741960499207105,1234.
592.23853180177,117.97940909891554,0.5750752576615095,1235.
593.3239624430132,118.55492367872989,0.5759537956135604,1236.
594.4094370974531,119.13131645665999,0.5768316548557259,1237.
595.4949544133419,119.70858675780096,0.5777088397880166,1238.
596.5805130552052,120.28673390724884,0.5785853497316324,1239.
597.6661116550376,120.86575723009946,0.5794611896225318,1240.
598.7517488856762,121.4456560514484,0.5803363518472592,1241.
599.8374233699997,122.02642969639192,0.5812108355002352,1242.
600.9231337731521,122.60807749002606,0.5820846461366751,1243.
602.0088787568448,123.19059875744574,0.5829577887996309,1244.
603.0946569487744,123.77399282374722,0.5838302441671871,1245.
604.180467006669,124.35825901402677,0.5847020321520124,1246.
605.2663075890041,124.94339665337998,0.5855731404418986,1247.
606.352177339968,125.52940506690243,0.586443576233639,1248.
607.4380748991275,126.11628357969039,0.5873133461361623,1249.
608.5239989426119,126.704031516839,0.5881824329462515,1250.
609.6099480956545,127.29264820344497,0.5890508439516361,1251.
610.6959210225812,127.88213296460322,0.5899185770131403,1252.
611.7819163659804,128.47248512541046,0.590785637031949,1253.
612.8679327774884,129.06370401096228,0.591652032774465,1254.
613.953968914744,129.65578894635382,0.5925177435866592,1255.
615.040023417864,130.24873925668203,0.593382773191882,1256.
616.1260949469803,130.8425542670418,0.5942471402580193,1257.
617.2121821446743,131.43723330252942,0.5951108285957528,1258.
618.2982836627941,132.03277568824092,0.5959738391851779,1259.
619.3843981499249,132.62918074927143,0.5968361786401818,1260.
620.4705242585385,133.22644781071767,0.5976978413319313,1261.
621.5566606312831,133.8245761976748,0.5985588310775305,1262.
622.6428059355887,134.42356523523904,0.599419144960417,1263.
623.7289588099711,135.02341424850624,0.6002787789368716,1264.
624.815117909461,135.62412256257153,0.6011377451891453,1265.
625.9012818711295,136.22568950253185,0.6019960309071167,1266.
626.9874493625622,136.82811439348234,0.6028536489270663,1267.
628.0736190309044,137.43139656051903,0.6037105827155225,1268.
629.1597895138005,138.03553532873798,0.6045668464408792,1269.
630.2459594660071,138.64053002323408,0.6054224397589828,1270.
631.3321275535118,139.24637996910428,0.6062773558581329,1271.
632.4182924026776,139.85308449144395,0.6071315877802881,1272.
633.5044526872119,140.46064291534913,0.6079851543425814,1273.
634.590607031022,141.06905456591494,0.6088380447698672,1274.
635.6767541105755,141.67831876823834,0.6096902607958405,1275.
636.7628925614567,142.28843484741424,0.6105417956890757,1276.
637.8490210352945,142.89940212853912,0.6113926590010164,1277.
638.9351381807915,143.51121993670859,0.6122428468103579,1278.
640.0212426521852,144.12388759701798,0.6130923658322636,1279.
641.1073331012242,144.7374044345638,0.6139412086789013,1280.
642.193408174692,145.35176977444166,0.6147893678970396,1281.
643.2794665197738,145.96698294174757,0.6156368564430001,1282.
644.3655067974552,146.58304326157713,0.6164836736752513,1283.
645.4515276387523,147.1999500590257,0.6173298195081569,1284.
646.5375277211336,147.81770265919022,0.6181752844830523,1285.
647.6235056718998,148.43630038716606,0.6190200692894466,1286.
648.7094601422441,149.0557425680488,0.6198641827349806,1287.
649.7953897940737,149.67602852693426,0.620707632240588,1288.
650.8812932771451,150.2971575889187,0.6215503970624673,1289.
651.9671692348543,150.9191290790975,0.6223924885428561,1290.
653.053016312912,151.5419423225669,0.6232338992227892,1291.
654.1388331731569,152.16559664442252,0.6240746378323371,1292.
655.2246184647094,152.79009136976015,0.6249147043657662,1293.
656.3103708324132,153.4154258236756,0.6257540945968247,1294.
657.3960889245948,154.04159933126516,0.6265928191613109,1295.
658.4817713952744,154.66861121762417,0.627430853918609,1296.
659.5674168955006,155.29646080784846,0.6282682189631819,1297.
660.6530240721854,155.9251474270343,0.629104909464905,1298.
661.7385915753761,156.5546704002768,0.6299409267106006,1299.
662.8241180602687,157.18502905267246,0.63077626844921,1300.
663.9096021673441,157.81622270931712,0.6316109367113568,1301.
664.9950425585969,158.44825069530611,0.6324449279037451,1302.
666.0804378789877,159.08111233573572,0.6332782515159636,1303.
667.165786788863,159.71480695570153,0.6341108852246455,1304.
668.251087914256,160.34933388029935,0.6349428585251137,1305.
669.3363399208608,160.98469243462546,0.6357741533202532,1306.
670.4215414665756,161.6208819437752,0.6366047684695881,1307.
671.506691183267,162.25790173284463,0.6374347100166201,1308.
672.5917877379744,162.89575112692955,0.638263976726409,1309.
673.6768297658451,163.53442945112556,0.6390925694725818,1310.
674.761815924064,164.17393603052915,0.6399204857333766,1311.
675.846744872772,164.81427019023567,0.6407477286334784,1312.
676.9316152488667,165.4554312553405,0.6415742936205023,1313.
678.0164257006841,166.09741855094057,0.6424001874124281,1314.
679.1011748903541,166.7402314021308,0.6432254059672831,1315.
680.185861456058,167.38386913400768,0.6440499483264137,1316.
681.2704840540832,168.02833107166657,0.6448738209525241,1317.
682.3550413371096,168.67361654020306,0.6456970109840758,1318.
683.4395319537177,169.31972486471386,0.6465195360242492,1319.
684.5239545449124,169.96665537029435,0.6473413771680042,1320.
685.6083077824262,170.61440738204055,0.6481625432534608,1321.
686.6925902923091,171.2629802250476,0.6489830345019519,1322.
687.7768007392996,171.91237322441202,0.6498028622733595,1323.
688.8609377694995,172.5625857052296,0.6506220036643328,1324.
689.94500003094,173.21361699259614,0.6514404745871366,1325.
691.0289861715789,173.86546641160726,0.6522582654204411,1326.
692.1128948575113,174.51813328735875,0.6530753861184846,1327.
693.1967247187025,175.17161694494666,0.6538918280185901,1328.
694.2804744151529,175.82591670946704,0.654707594612292,1329.
695.3641426043397,176.48103190601546,0.6555226900984513,1330.
696.4477279178741,177.13696185968774,0.6563371103654222,1331.
697.5312290224214,177.7937058955797,0.6571508585171065,1332.
698.6146445580508,178.45126333878693,0.6579639316037379,1333.
699.6979731755696,179.1096335144059,0.6587763225078852,1334.
700.7812135304993,179.76881574753202,0.6595880369198996,1335.
701.8643642777381,180.4288093632615,0.6603990906257021,1336.
702.9474240549675,181.08961368668975,0.6612094534033781,1337.
704.0303915193206,181.75122804291232,0.6620191506601779,1338.
705.1132653225741,182.41365175702595,0.6628281722199495,1339.
706.1960441120879,183.07688415412576,0.6636365221526204,1340.
707.2787265298307,183.74092455930804,0.6644441867905038,1341.
708.361311245876,184.40577229766814,0.665251186004666,1342.
709.4437968907725,185.07142669430255,0.666057510239066,1343.
710.526182128121,185.73788707430663,0.6668631562608683,1344.
711.6084655985935,186.4051527627762,0.6676681274637987,1345.
712.6906459551741,187.0732230848073,0.6684724177324529,1346.
713.7727218532048,187.7420973654955,0.6692760447702046,1347.
714.8546919309623,188.4117749299371,0.6700789866757293,1348.
715.9365548563006,189.08225510322745,0.6708812613743151,1349.
717.0183092705552,189.75353721046304,0.6716828515573872,1350.
718.099953819993,190.42562057673877,0.6724837753263854,1351.
719.1814871587826,191.09850452715114,0.6732840213028076,1352.
720.2629079314138,191.77218838679596,0.674083591255781,1353.
721.3442147921741,192.4466714807686,0.6748824939357364,1354.
722.4254064051946,193.12195313416555,0.6756807106678426,1355.
723.5064813913538,193.7980326720824,0.6764782634353649,1356.
724.5874384243044,194.47490941961428,0.6772751301697472,1357.
725.668276152131,195.15258270185814,0.678071328969659,1358.
726.7489932133361,195.83105184390934,0.6788668500631705,1359.
727.8295882679196,196.5103161708637,0.6796617034502759,1360.
728.9100599667208,197.190375007817,0.6804558714337559,1361.
729.9904069485971,197.87122767986511,0.6812493713221814,1362.
731.070627868312,198.55287351210404,0.6820421973168923,1363.
732.150721390745,199.23531182962938,0.6828343381049616,1364.
733.2306861463632,199.91854195753695,0.6836258161186022,1365.
734.3105207959496,200.602563220923,0.6844166112944564,1366.
735.3902239860313,201.28737494488269,0.6852067347395682,1367.
736.4697943667051,201.97297645451272,0.6859961844073147,1368.
737.5492305910369,202.659367074908,0.6867849534732956,1369.
738.6285313012299,203.34654613116504,0.6875730517922183,1370.
739.7076951620405,204.03451294837942,0.6883604823116137,1371.
740.7867208158633,204.72326685164694,0.6891472248861938,1372.
741.8656069068064,205.41280716606366,0.6899333001607092,1373.
742.9443520885989,206.10313321672515,0.6907187006813004,1374.
744.022955020777,206.7942443287277,0.6915034228913788,1375.
745.1014143423828,207.48613982716643,0.692287470650012,1376.
746.1797287026761,208.17881903713783,0.6930708479683977,1377.
747.2578967701075,208.87228128373727,0.6938535487689614,1378.
748.3359171676033,209.56652589206078,0.6946355659558575,1379.
