Model,M_star,R_star,f_Hz,delta_phi,relative_jump,epsilon1,epsilon2,delta_epsilon,p_trans
DD2F80_B=65_set244_HG075_eta005_eta016_μm=860,1.4,20.00100000000015,100.0,1.3387206253477293e+32,0.9738238207649913,169.27448013639355,334.11800114082394,164.8435210044304,6.150966974613033
DD2F80_B=65_set244_HG075_eta005_eta016_μm=955,1.4,20.00100000000015,100.0,8.483761772280007e+31,1.3028269168231714,207.2689938179513,477.30461798683376,270.03562416888246,17.018521783772215
