epsilon [MeV/fm^3],p [MeV/fm^3],n [1/fm^3],mu [MeV]
799.4750924013354,290.3131255980662,0.7326269644061413,1487.5076552536816
811.820771413681,300.3131255980662,0.7408888310744712,1501.080661992001
824.1664504260266,310.3131255980662,0.7490767362540742,1514.5038166547683
836.5121294383723,320.3131255980662,0.7571927797019308,1527.781677331661
848.857808450718,330.3131255980662,0.7652389623150798,1540.9185785332136
861.2034874630638,340.3131255980662,0.773217192563383,1553.9186461669865
873.5491664754094,350.3131255980662,0.7811292923922761,1566.7858112519266
885.894845487755,360.3131255980662,0.7889770026480286,1579.5238224982438
898.2405245001007,370.3131255980662,0.7967619880719753,1592.136257865219
910.5862035124464,380.3131255980662,0.804485841904932,1604.6265351964532
922.9318825247922,390.3131255980662,0.8121500901384213,1616.9979220208318
935.2775615371378,400.3131255980662,0.8197561954453295,1629.2535445976707
947.6232405494834,410.3131255980662,0.8273055608191111,1641.396396275958
959.9689195618291,420.3131255980662,0.834799532947577,1653.4293452300878
972.3145985741749,430.3131255980662,0.8422394053445953,1665.3551416278933
984.6602775865206,440.3131255980662,0.8496264212606426,1677.1764242809998
997.0059565988661,450.3131255980662,0.8569617763910391,1688.895726822369
1009.3516356112118,460.3131255980662,0.864246621398824,1700.5154834514203
1021.6973146235575,470.3131255980662,0.871482064267578,1712.0380342830788
1034.0429936359033,480.3131255980662,0.8786691724980223,1723.4656303335576
1046.388672648249,490.3131255980662,0.885808975160914,1734.8004381725323
1058.7343516605945,500.3131255980662,0.8929024648175835,1746.0445442685257
1071.0800306729402,510.3131255980662,0.8999505993184217,1757.1999590518365
1083.425709685286,520.3131255980662,0.906954303488678,1768.2686207170882
1095.7713886976317,530.3131255980662,0.9139144707101029,1779.2523987854634
1108.1170677099772,540.3131255980662,0.9208319644062063,1790.1530974449013
1120.462746722323,550.3131255980662,0.9277076194382299,1800.972458684905
1132.8084257346686,560.3131255980662,0.9345422434183193,1811.7121652411604
1145.1541047470143,570.3131255980662,0.9413366179458337,1822.3738433638537
1157.49978375936,580.3131255980662,0.9480914997722321,1832.959065422394
1169.8454627717056,590.3131255980662,0.9548076218995215,1843.469352358187
1182.1911417840513,600.3131255980662,0.9614856946168583,1853.9061759961248
1194.536820796397,610.3131255980662,0.9681264064795031,1864.2709612246024
1206.8824998087428,620.3131255980662,0.9747304252340185,1874.5650880530645
1219.2281788210885,630.3131255980662,0.9812983986932727,1884.789893555376
1231.573857833434,640.3131255980662,0.9878309555645503,1894.9466737066439
1243.9195368457797,650.3131255980662,0.994328706233808,1905.0366851205374
1256.2652158581254,660.3131255980662,1.000792243508888,1915.0611466936
1268.6108948704712,670.3131255980662,1.007222143324291,1925.021241162557
1280.9565738828167,680.3131255980662,1.0136189654099095,1934.9181165801704
1293.3022528951624,690.3131255980662,1.0199832539259648,1944.7528877147708
1305.647931907508,700.3131255980662,1.0263155380662021,1954.5266373782413
1317.9936109198538,710.3131255980662,1.032616332631279,1964.2404176868436
1330.3392899321996,720.3131255980662,1.0388861385741215,1973.8952512590079
1342.684968944545,730.3131255980662,1.0451254435189148,1983.4921323538651
1355.0306479568908,740.3131255980662,1.051334722255268,1993.0320279540806
1367.3763269692365,750.3131255980662,1.0575144372089977,2002.5158787962548
1379.7220059815822,760.3131255980662,1.0636650388908642,2011.9446003519756
1392.067684993928,770.3131255980662,1.0697869663245179,2021.3190837623647
1404.4133640062735,780.3131255980662,1.0758806474548224,2030.6401967287727
1416.7590430186192,790.3131255980662,1.0819464995376402,2039.9087843621262
1429.104722030965,800.3131255980662,1.0879849295121085,2049.1256699932255
1441.4504010433106,810.3131255980662,1.0939963343563541,2058.291655946167
1453.7960800556564,820.3131255980662,1.0999811014275427,2067.4075242769263
1466.1417590680019,830.3131255980662,1.105939608787099,2076.4740374789776
1478.4874380803476,840.3131255980662,1.1118722255118818,2085.4919391577464
1490.8331170926933,850.3131255980662,1.1177793119920512,2094.461954675547
1503.178796105039,860.3131255980662,1.123661220216314,2103.3847917685666
1515.5244751173848,870.3131255980662,1.1295182940452053,2112.2611411373614
1527.8701541297303,880.3131255980662,1.1353508694730026,2121.091677012241
1540.215833142076,890.3131255980662,1.1411592748788584,2129.8770576948245
1552.5615121544217,900.3131255980662,1.146943831267681,2138.6179260769927
1564.9071911667675,910.3131255980662,1.1527048525012775,2147.314910138361
1577.2528701791132,920.3131255980662,1.1584426455202317,2155.968623423369
1589.5985491914587,930.3131255980662,1.1641575105569728,2164.5796654989695
1601.9442282038044,940.3131255980662,1.169849741340455,2173.1486223939005
1614.2899072161501,950.3131255980662,1.175519625292852,2181.676067020411
1626.6355862284959,960.3131255980662,1.1811674437186437,2190.162559579299
1638.9812652408416,970.3131255980662,1.186793471986452,2198.6086479490637
1651.326944253187,980.3131255980662,1.1923979797039637,2207.014868059916
1663.6726232655328,990.3131255980662,1.1979812308862603,2215.381744253367
1676.0183022778785,1000.3131255980662,1.203543484117855,2223.709789628066
1688.3639812902243,1010.3131255980662,1.2090849927087244,2231.9995063725164
1700.7096603025698,1020.3131255980662,1.2146060048446046,2240.251386085285
1713.0553393149155,1030.313125598066,1.2201067637318057,2248.465910083265
1725.4010183272612,1040.313125598066,1.2255875077367933,2256.6435496985264
1737.746697339607,1050.313125598066,1.2310484705207585,2264.7847665642826
1750.0923763519527,1060.313125598066,1.2364898811694034,2272.890012890436
1762.4380553642982,1070.313125598066,1.241911964318142,2280.959731729177
1774.783734376644,1080.313125598066,1.2473149402729191,2288.9943572310613
1787.1294133889896,1090.313125598066,1.2526990251268273,2296.9943148919865
1799.4750924013354,1100.313125598066,1.2580644308727067,2304.960021791449
1811.820771413681,1110.313125598066,1.2634113655118893,2312.89188682247
1824.1664504260266,1120.313125598066,1.2687400331592515,2320.7903109135227
1836.5121294383723,1130.313125598066,1.2740506341447289,2328.655687242816
1848.857808450718,1140.313125598066,1.279343365111433,2336.488401445238
1861.2034874630638,1150.313125598066,1.2846184191105139,2344.2888318122837
1873.5491664754095,1160.313125598066,1.289875985692895,2352.0573494852274
1885.894845487755,1170.313125598066,1.2951162509980088,2359.7943186418406
1898.2405245001007,1180.313125598066,1.3003393978396534,2367.5000966769044
1910.5862035124464,1190.313125598066,1.3055456057890773,2375.17503437677
1922.9318825247922,1200.313125598066,1.310735051255411,2382.8194760881997
